  ModulePlayer.cpp
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleparticles.h(67): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(493): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(501): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(502): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(503): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(504): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(505): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(513): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(514): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(515): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(516): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(517): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(525): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(528): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(529): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(530): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(533): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(534): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(535): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(545): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(546): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(553): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(554): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(555): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(556): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(557): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(565): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(566): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(568): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(569): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(571): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(572): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(574): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(575): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(577): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(578): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(587): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(588): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(589): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(591): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(592): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(593): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(595): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(596): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(598): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(599): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(601): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(602): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(604): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(605): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(610): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(611): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(612): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(614): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(615): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(616): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(618): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(619): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(620): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(622): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(623): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(624): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(626): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(627): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(628): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(630): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(631): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(632): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(638): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(639): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(640): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(641): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(643): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(644): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(645): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(646): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(648): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(649): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(650): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(652): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(653): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(654): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(656): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(657): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(658): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(660): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(661): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(662): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(667): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(668): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(669): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(670): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(672): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(673): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(674): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(675): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(677): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(678): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(679): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(680): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(682): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(683): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(684): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(685): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(687): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(688): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(689): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(690): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(692): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(693): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(694): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(695): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(699): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(700): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(701): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(702): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(703): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(704): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(748): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(756): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(761): warning C4244: 'argument': conversion from 'float' to 'int', possible loss of data
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(285): warning C4474: 'sprintf_s' : too many arguments passed for format string
  c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(285): note: placeholders and their parameters expect 0 variadic arguments, but 1 were provided
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(427): warning C4474: 'sprintf_s' : too many arguments passed for format string
  c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(427): note: placeholders and their parameters expect 0 variadic arguments, but 1 were provided
c:\users\joan\documents\github\pandoras_box_raiden\raiden project\moduleplayer.cpp(814): warning C4018: '>=': signed/unsigned mismatch
  SDL Game.vcxproj -> C:\Users\Joan\Documents\GitHub\Pandoras_Box_Raiden\Raiden Project\Debug\SDL3 Handout.exe
  SDL Game.vcxproj -> C:\Users\Joan\Documents\GitHub\Pandoras_Box_Raiden\Raiden Project\Debug\SDL3 Handout.pdb (Full PDB)
